id,title,runningTimeInMinutes,releaseDate,certificate,rating,ratingcount,text
tt0241527,Harry Potter and the Sorcerer's Stone,152,2001-11-16,PG,7.6,846411,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
tt1136617,The Killer,118,2023-11-10,R,6.7,166597,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal."
tt29722855,Badland Hunters,107,2024-01-26,TV-MA,6.0,2988,"When an earthquake turns Seoul into a lawless badland, a fearless huntsman goes on to rescue a teenager from a mad doctor who held the teenager captive in a camp full of dangerous cultists."
tt0120737,The Lord of the Rings: The Fellowship of the Ring,178,2001-12-19,PG-13,8.9,1981052,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
tt1375666,Inception,148,2010-07-16,PG-13,8.8,2515193,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
tt1375666,Inception,148,2010-07-16,PG-13,8.8,2515193,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
tt6718170,The Super Mario Bros. Movie,92,2023-04-05,PG,7.0,226914,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess."
tt6791350,Guardians of the Galaxy Vol. 3,150,2023-05-05,PG-13,7.9,366002,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
tt4513678,Ghostbusters: Afterlife,124,2021-11-19,PG-13,7.1,208385,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
tt1392170,The Hunger Games,142,2012-03-23,PG-13,7.2,992765,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
tt1392170,The Hunger Games,142,2012-03-23,PG-13,7.2,992765,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
tt0172495,Gladiator,155,2000-05-05,R,8.5,1597958,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
tt4495098,Gran Turismo,134,2023-08-25,PG-13,7.2,81660,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world."
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,118,2010-02-12,PG,5.9,200838,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.
tt1477834,Aquaman,143,2018-12-21,PG-13,6.8,513794,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
tt22866358,The Book of Clarence,129,2024-01-12,PG-13,6.0,1864,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence."
tt22866358,The Book of Clarence,129,2024-01-12,PG-13,6.0,1864,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence."
tt2906216,Dungeons & Dragons: Honor Among Thieves,134,2023-03-31,PG-13,7.3,215625,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
tt0367594,Charlie and the Chocolate Factory,115,2005-07-15,PG,6.7,521501,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
tt3291150,Expend4bles,103,2023-09-22,R,4.8,31765,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table."
tt3291150,Expend4bles,103,2023-09-22,R,4.8,31765,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table."
tt3291150,Expend4bles,103,2023-09-22,R,4.8,31765,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table."
tt1464335,Uncharted,116,2022-02-18,PG-13,6.3,250844,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada."
tt5090568,Transformers: Rise of the Beasts,127,2023-06-09,PG-13,6.0,97959,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
tt1392190,Mad Max: Fury Road,120,2015-05-15,R,8.1,1070739,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
tt15789038,Elemental,101,2023-06-16,PG,7.0,114132,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together."
tt0439572,The Flash,144,2023-06-16,PG-13,6.7,200428,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
tt0361748,Inglourious Basterds,153,2009-08-21,R,8.4,1559766,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
